SMILES,Formula,MW,LogP,TPSA,NumRotatableBonds,HBA,HBD,Num_heavy_atoms,MOLAR REFRACTIVITY,FRACTION CSP3,LOGD,LOGS,BIOAVAILABILITY SCORE,NUM_RINGS,NUM_HETEROATOMS,FORMAL CHARGE,NUM_RIGIDATOMS,PSA,SP3_COUNT,Radical_Electron,Valence_Electron,HeavyAtomMolWt,ExactMolWt,qed_value,P_GP,HIA,PPB,BBB,FRACTION UNBOUND,ALOGP,XLOGP3,ILOGP,WLOGP,Cl,CLint,T_HALF,TOX,BCF,LIPINSKI,VEBER,GHOSE,EGAN ,PFIZER,Target
Clc1cc(Cl)c(cc1O)Cl,C6H3Cl3O,197.448,3.3524,20.23,0,1,1,10,43.1368,0,0.542314531,-1.6146896,0.017250228,1,4,0,10,20.23,1,0,29,194.424,195.9249478,0.63249081,TRUE,0.011374963,TRUE,FALSE,-0.44136,3.3524,3.3524,0.2017132,29,3.007712792,1.316829548,4.756154663,FALSE,1.23415856,TRUE,TRUE,FALSE,TRUE,TRUE,1
c1ccc(cc1)c1snnc1c1ccccc1,C14H10N2S,238.315,3.8721,25.78,2,3,0,17,70.781,0,0.351001837,-1.9351384,0.127102191,3,3,0,17,25.78,-1,0,64,228.235,238.0564693,0.676912812,TRUE,0.004196793,TRUE,FALSE,-1.722851,3.8721,3.8721,6.4622753,34.5,3.936572394,1.51636427,5.206037513,FALSE,1.1793219,TRUE,TRUE,FALSE,TRUE,TRUE,1
ClCCOCCOc1c(Cl)cc(cc1Cl)Cl,C10H10Cl4O2,304,4.281,18.46,6,2,0,16,68.506,0.4,0.851,-1.626304,0.059318857,1,6,0,16,18.46,1,0,48,293.92,301.9434903,0.57665484,TRUE,0.000720187,TRUE,FALSE,-2.54006,4.281,4.281,21.441213,40.11111111,5.225913252,1.820099777,5.862828106,FALSE,1.016136,TRUE,TRUE,FALSE,TRUE,TRUE,1
Brc1cc(Br)c(c2c1C(=O)c1ccccc1C2=O)N,C14H7Br2NO2,381.023,3.5692,60.16,0,3,1,19,79.5614,0,-0.126385218,-3.5538768,0.012234935,3,5,0,19,60.16,-1,0,65,373.967,378.8843527,0.606227549,TRUE,0.007416432,TRUE,FALSE,-2.405953,3.5692,3.5692,0.2001956,48.5,5.194668078,2.156023066,6.596890108,FALSE,0.61511686,TRUE,TRUE,FALSE,TRUE,TRUE,1
CCOC(OCC)(OCC)C,C8H18O3,162.229,1.7696,27.69,6,3,0,11,43.283,1,-1.154702345,-1.8081584,0.462650155,0,3,0,11,27.69,2,0,38,144.085,162.1255944,0.556973187,TRUE,0.29144392,TRUE,FALSE,-3.826099,1.7696,1.7696,6.3903928,24.25,1.757452424,1.136413481,4.359395164,FALSE,1.08166978,TRUE,TRUE,FALSE,TRUE,FALSE,1
S=C(Nc1ccccc1C)NC(=O)c1ccccc1,C15H14N2OS,270.357,3.12182,41.13,2,2,2,19,81.3079,0.066666667,-0.573765218,-2.59390928,-0.100174542,2,4,0,19,41.13,0,0,70,256.245,270.0826841,0.823802947,TRUE,0.020269662,TRUE,FALSE,-2.0823522,3.12182,3.12182,4.96696726,44,3.596896677,1.666837347,5.574496076,FALSE,0.93256226,TRUE,TRUE,FALSE,TRUE,TRUE,1
BrCC(Br)(Cl)Cl,C2H2Br2Cl2,256.752,2.9076,0,1,0,0,6,37.158,1,0.62497759,-0.5973904,0.203588846,0,4,0,6,0,2,0,12,254.736,253.7900296,0.633159726,TRUE,0.004117276,TRUE,FALSE,-1.03564,2.9076,2.9076,2.3724268,16.47222222,3.28237794,1.603523707,5.440637164,FALSE,0.94356544,TRUE,TRUE,FALSE,TRUE,FALSE,1
O=C1C=CC(=O)N1c1ccc(cc1)N=Nc1ccccc1,C16H11N3O2,277.283,3.5314,62.1,3,4,0,21,78.693,0,-0.329706014,-3.6430656,0.10733529,3,5,0,21,62.1,-1,0,77,266.195,277.0851266,0.636051412,TRUE,0.028647716,TRUE,FALSE,-2.937745,3.5314,3.5314,8.5746602,52.33333333,4.055012915,1.698761625,5.629132303,FALSE,0.97985326,TRUE,TRUE,FALSE,TRUE,TRUE,1
O=C(c1ccccc1)CP(c1ccccc1)(c1ccccc1)c1ccccc1,C26H23OP,382.443,4.5957,17.07,6,1,0,28,122.1825,0.038461538,0.20998806,-1.5923128,0.018532613,4,2,0,28,17.07,-2,0,111,359.259,382.148652,0.351974757,TRUE,0.000166812,TRUE,FALSE,-2.436283,4.5957,4.5957,23.3272101,57.52777778,6.708183682,2.162046578,6.561160949,FALSE,0.79069726,TRUE,TRUE,FALSE,TRUE,TRUE,1
CCCC(=O)NCc1ccccc1,C11H15NO,177.247,2.1029,29.1,4,1,1,13,53.1967,0.363636364,-1.035207944,-1.9105016,0.030145938,1,2,0,13,29.1,1,0,49,162.127,177.1153641,0.749376681,TRUE,0.156858299,TRUE,FALSE,-2.304583,2.1029,2.1029,5.6620597,29.33333333,2.038846259,1.21443473,4.546091432,FALSE,1.08656614,TRUE,TRUE,FALSE,TRUE,FALSE,1
COC(=O)C(C(C(=O)OC)Cl)Cl,C6H8Cl2O4,215.032,0.5472,52.6,3,4,0,12,43.314,0.666666667,-2.486235195,-2.8767088,0.461407881,0,6,0,12,52.6,2,0,34,206.968,213.9799641,0.509045019,TRUE,3.746968137,TRUE,FALSE,-4.710296,0.5472,0.5472,-0.3570504,39.22222222,1.606451911,1.403839084,5.061859466,FALSE,0.67749264,TRUE,TRUE,FALSE,TRUE,FALSE,1
Nc1ccc2c(c1)cc(cc2O)S(=O)(=O)O,C10H9NO4S,239.252,1.3743,100.62,1,4,3,16,59.8398,0,-2.0557,-5.2676872,-0.199183176,2,6,0,16,100.62,0,0,57,230.18,239.0252288,0.515159779,TRUE,8.927451511,TRUE,FALSE,-3.727782,1.3743,1.3743,0.8498599,49.25,2.133692307,1.520833574,5.308704572,FALSE,0.73635464,TRUE,TRUE,FALSE,TRUE,FALSE,1
